user_id_str,username,bio,age
1269401705470443520,HaroldMasters9,Gen X. Science is real. Material reality is real. Physical reality trumps Sincerely Held Beliefs. #IStandWithJKRowling  #TeamTERF 🟩⬜🟪,"6 Jun, 2020 @ 23:52:22.000"
1643361099507703808,EndSelfID,🏳️‍🌈✂️🏳️‍⚧️Looking for my old friends 🦖💛🤍💜🤍💚#LGBWithoutTheTQ&ACDEFHIJKMNOPR2SUVWXYZ+ #TeamReality #TeamTERF #IStandWithJKRowling,"4 Apr, 2023 @ 22:14:11.000"
1607303967435890688,KarinElaxa,"I'm not a vet, but I know what a bitch is. #AdultHumanFemale #teamterf #wdi 🇧🇻🇫🇮     
💚🤍💜","26 Dec, 2022 @ 09:15:26.000"
1169836736450449408,UteratiOvaria,"Woman=Adult Human Female. 
Female only prisons/sports/shelters.  
Tired of Explaining Reality to Fuckwits. 
#teamterf 
pronouns: Nobody/Changes/Sex.","6 Sep, 2019 @ 05:56:36.000"
64795265,bericm,#TeamTERF | On the Right Side of Roaring Rapids | Amateur Psychonaut | We can hide the bodies on the ride home,"11 Aug, 2009 @ 20:20:04.000"
19341346,SisterKaff,"maman de Sooty, I❤️JKR 👉 🦖🦖🦖#TeamTERF #IStandWithPosieParker","22 Jan, 2009 @ 14:59:48.000"
1489450597799501824,goeke_christina,Powerlifter. A woman with boundaries. #TeamTERF 😊,"4 Feb, 2022 @ 04:08:10.000"
1455649455970078720,RevTerfy,Starfleet Commander Intergalactic TERF Alliance™️ #teamTERF,"2 Nov, 2021 @ 21:34:20.000"
1527662558634811392,RBottowski,"NEGATIVE SPEED FORCE MAGA  #CG #FM

LGB 
Married (im a guy)
🍍 Swingers

#TeamTERF  

""TRANSPHOBIC"" 

""You are the Putin of Bisexuals"" 

Pronouns: Un/vaxxd","20 May, 2022 @ 15:48:48.000"
1023255283408228352,Prissi_coffee,Married SAHM full of snark. You won't agree with every tweet or retweet. Deal with it. 😎 #WomenWontWheesht 💛💚🤍💜 #TeamTERF I identify as a 🦕.,"28 Jul, 2018 @ 18:14:05.000"
907775383055060992,wakeari60,Gender Ideology is a social contagion. I will not be assimilated #TeamTerf. No unsolicited DMs please.                        #IStandWithRileyGaines,"13 Sep, 2017 @ 02:18:11.000"
1432085032357621760,GenderIsSexism,"Politically Homeless Educator Who Knows Sex is Real and Matters
#LesbianNotQueer
#LeaveChildrenAlone
#TeamTERF
#SexNotGender
#IStandWithAmyHamm
#LetWomenSpeak","29 Aug, 2021 @ 21:57:54.000"
351739016,charles_hart,#TeamTerf/Cats=perfection/Peak District/‘way too petite’/Stickle Brick in Legoland/Twitter is my safe space,"9 Aug, 2011 @ 18:37:09.000"
1464351164271583232,Your_mums_aTerf,"Agent 23393

Biological female to a son who is so called trans and I say #AdultHumanFemale #IStandWithJKRowling #nothankyou #sexnotgender #TeamTERF #CisIsASlur","26 Nov, 2021 @ 21:51:59.000"
791740942936080384,seyda__aytekin,"cinsiyet teröristi, tasmasız terf, kink shamer. porno izleyen, seks alan ve savunan DA pezevenktir. SPEKTRUM BABANIZDIR. #SexNotGender #TeamTERF @kadincemberi","27 Oct, 2016 @ 21:38:45.000"
1063747075194712064,Mvap12,Mujer.Madre. Librera a tiempo parcial. #SexNotGender #TeamTERF,"17 Nov, 2018 @ 10:54:00.000"
1145715757231292416,CelulaG,Debe usar sus pequeñas células grises Mon Ami...#RadFem Proud #TeamTERF 😈 ✊🏼 #GenderAtheist,"1 Jul, 2019 @ 16:28:17.000"
1540027453975908352,Araweel0Returns,"Facts over feelings 
#TeamTERF 
⚢","23 Jun, 2022 @ 18:42:39.000"
1640427311672508416,UndecidedAndrew,#GayNotQueer  #AntiWar #AntiImperialism #TeamTerf #PoliticallyHomeless #LGBWithoutTheTQ,"27 Mar, 2023 @ 19:56:00.000"
1650644254174351360,JadeWhiteRose,#teamTERF #RadFem #SexNotGender Give Women Rights. Female. Lesbian. Mother. LawDr. Microbiology boffin. Big Gamete Power. #trans = #sexist #classist #capitalist,"25 Apr, 2023 @ 00:34:26.000"
297673148,serene4uk,"Married father of 2. #LUFC, #YorkshireCricket. Christian. IT dev. Gamer (not good). Guitarist (bad). Left-hander, not lefty. #SexNotGender. #TeamTERF","12 May, 2011 @ 23:27:42.000"
244189297,carolinefff,"Politics, democracy, freedom, community, education, life generally, #TeamTerf #ToryTerf","28 Jan, 2011 @ 18:45:18.000"
1446792878135648256,TeamTERF0,"A woman sticking up for women in a sea of gynophobic transpeople and extreme liberals/conservatives, along with random thoughts #teamterf","9 Oct, 2021 @ 12:01:25.000"
51746666,gaelicana,Adult Human Female🦖. Womanhood Is Not An Identity. Sex Is Immutable. Woman Face is the new Black Face. #teamTERF,"28 Jun, 2009 @ 15:50:40.000"
1315540284948860928,pq863210,"#teamterf

#JoeBiden sucks, big time.","12 Oct, 2020 @ 07:30:28.000"
993854342,OldGamerPapi,🇺🇸Game lover Old school pen-n-paper rpg to video games. #Goldwater Conservative. #SuperStraight bit.ly/2McTya7  #TeamTerf #AntiTheist,"6 Dec, 2012 @ 21:22:17.000"
3937914673,John_Adams_USA,"❤️’r of #FreeSpeech, @TuckerCarlson, #Prolife, #ProIsrael, @RonDeSantisFL, 2-genders, #TeamTERF","18 Oct, 2015 @ 17:51:16.000"
1597829143617589248,LaurenzNotHere,"19th Amendment Enjoyer.
Psycho bitch woman.
Steven Crowder is an Abuser.
#IStandWithHillaryCrowder
My alt is @LaurenzLikeThat
#TeamTERF #SexNotGender","30 Nov, 2022 @ 05:45:39.000"
1641220707370561536,YarrowOfVenus,#standingforwomen #womendontconsent #LetWomenSpeak #TeamTERF 🇺🇸,"30 Mar, 2023 @ 00:30:46.000"
1632264718000836608,LaurenzLikeThat,"Proud Supporter of TuAnon 🐬
Alt of @LaurenzNotHere
Steven Crowder is an abuser.
#IStandWithHillaryCrowder
#TeamTERF #SexNotGender
#IStandWithPosieParker","5 Mar, 2023 @ 06:20:20.000"
1427457423103696896,ChrisWithAQU,GC Adult Human Male. No thank you. #teamTERF,"17 Aug, 2021 @ 04:50:25.000"
1263223226089390080,michaelheister,"Rumble: bit.ly/3DSkSBw
YouTube: bit.ly/3DWPL7G
#TeamTERF","20 May, 2020 @ 22:42:03.000"
42156664,rorybowman,"Hegemonic ""transgender"" ideology is sexist, homophobic and anti-feminist, deeply body and sex-negative.

#TeamTERF #IStandWithKJK #LetWomenSpeak","24 May, 2009 @ 04:36:07.000"
1269463117957750784,LicoriceMedusa,"“That one, when she looks at you, you can see she’s working things out….they remember” - Muldoon #TeamTERF","7 Jun, 2020 @ 03:56:41.000"
1565744865832763392,MyfanwyWynne,"Adult human female. #teamterf
Pronouns: (te/rf)","2 Sep, 2022 @ 17:54:12.000"
1578455552140738560,Merlin0315,"Retired soldier, father and grandfather. Avid fisherman, outdoor enthusiast and observer of life … #TeamTerf, #GC, #SaveWomensSports","7 Oct, 2022 @ 19:42:23.000"
3279435374,l_dawes1,"I love Camille Paglia. She’s my goddess. Liberalism not Leftistism. Bi, Agnostic. MRA. I support J.K. Rowling and Dave Chappelle #TeamTerf","14 Jul, 2015 @ 10:42:39.000"
1632446533739196416,HeroditusH,"Gender critical biological human male person 
#TeamTerf #IStandWithJKRowling #TransWomenAreWomen #TransMenAreMen
#CertifiedSkeptic
green white purple","5 Mar, 2023 @ 18:23:55.000"
1140043627164590080,evilmermaid2019,"6'2.5 giraffe 🦒 - I don't care if I hurt your feelings. 
Choo choo trains not welcome. If you have pronouns in your bio - F-OFF
#teamterf #gettheSNPtofuck
😁","16 Jun, 2019 @ 00:49:16.000"
1604637686010376192,tazerface43,"adult. human. female.
#TeamTerf","19 Dec, 2022 @ 00:40:21.000"
226570749,bigguspig,"Opinions my own, RTs != endorsement, sex  !=gender. #TeamTerf.  Foolish answers to foolish questions
💚🤍💜","14 Dec, 2010 @ 14:20:19.000"
1390842759188152320,E_G303,"#TeamTERF

#BiologyMatters #WomenMatter  #LGBMatter #TSMatter #SafeguardChildren #KeepPrisonsSingleSex  

My pronouns are: piss/off","8 May, 2021 @ 02:35:38.000"
1246760347324895232,HairyShort,"#VaccinesWork #TeamTerf

Sometimes I come across tweets so jaw dropping, I retweet for a wider audience, doesn't mean I agree with the tweet, quite the opposite","5 Apr, 2020 @ 12:23:37.000"
1628894938594246656,LaurenzThirdAlt,"Twitter keeps shadowbanning me.
Main Account: @LaurenzNotHere
JK Rowling was right about everything.
#TeamTERF #SexNotGender","23 Feb, 2023 @ 23:09:59.000"
1594088428085428224,ExpressNihilist,"#GayNotQueer #AntiWar #AntiImperialism  #TEAMTERF
Sorry Sir/Ma'am, we're all out of revolutionaries.
Not here for Followers. Antifa=Fascists.","19 Nov, 2022 @ 22:01:34.000"
1569451440418209792,WinBuckets88,woman - adult human female #TeamTERF #LGB #AdultHumanFemale #ProtectWomensSports #LVAces Old acct banned 4 standing up 4 🏃‍♀️ Creator/Admin @WomRugbyComp,"12 Sep, 2022 @ 23:22:45.000"
1574044902656180224,PixelPonkel,"#GAYNOTQUEER #TEAMTERF. #ADULTHUMANMALE - Allergic to idiots, idiot-ology, ideology and TRAs.","25 Sep, 2022 @ 15:35:40.000"
1559995199979405312,CarolCo29585756,"Agent 405. Licenced to peak
Thought criminal
Enough is Enough
No to Self-ID
#TeamTerf
Sex Not Gender","17 Aug, 2022 @ 21:07:36.000"
473096630,Crzorrilla,Information Technology Doer. #teamTERF,"24 Jan, 2012 @ 16:50:15.000"
1301293956274290688,gipsybei,natural born female #TeamTerf I’m not your cis. Frenchie Mom🖤Proud antivaxxer. I’m part of the protected class so watch what you say to me🏳️‍🌈,"3 Sep, 2020 @ 00:01:03.000"
1572601703853182976,digga71hh,#TeamTERF,"21 Sep, 2022 @ 16:00:59.000"
20627286,thewimssaidno,🦕 🦖💚🤍💜 Pronouns I use: Te/rF #WomenWontWheesht #TeamTerf #IStandWithAllison,"11 Feb, 2009 @ 21:00:15.000"
1303367859263827968,BelissaCohen,"Journalist. Commentator. TERF/TERP. Outlaw Jewess. Transage.

 We're ALL ""non-binary""!

#SuperLGBS
#TeamTERF
#ItsCapitalismStupid
#LGBdroptheT
MISCHIEF MANAGED!","8 Sep, 2020 @ 17:22:28.000"
1465379616051253248,manashmahanta77,"Gentle in real life, abusive on twitter #TeamTERF Will tell my children and grandchildren about Assange's heroics #THFC #BillMaher #RogerWaters #FuckNATO","29 Nov, 2021 @ 17:58:42.000"
1000174256062316544,hereticsandhol1,"More schoperhauerian than Schopenhauer. ""The doctor sees all the weakness of mankind; the lawyer all the wickedness, the theologian all the stupidity."" TeamTERF","26 May, 2018 @ 01:38:19.000"
1549265809264058368,CryptosRants,"Sometimes Cryptos, Sometimes Witchcraft, Sometimes rants. Don’t come for me unless I send for you. Restez plante! #TEAMTERF #SUPERLESBIAN","19 Jul, 2022 @ 06:32:33.000"
1557100632485646336,man4_men,"Dude who likes dudes...dudes, btw, do not have vaginas. Nor do women have penises.  #TeamTERF #GCAF #GayNotQueer","9 Aug, 2022 @ 21:25:03.000"
1461583726048161792,CritRacePapers,"Actual quotes from critical race theory literature (and other stuff).  

Queer-curious and bi-adjacent.

""Absolutely not"" - Tressie McMillan Cottom

#teamTERF","19 Nov, 2021 @ 06:34:58.000"
