user_id_str,username,bio,age
1647743925149376512,Abigailterfette,Adult human females against conservative male funded grifters. Get male fascists and their handmaidens out of our movement!,"17 Apr, 2023 @ 00:29:49.000"
1529115187973963776,AccountantTerf,Not really an accountant. Probably a TERF.,"24 May, 2022 @ 16:01:02.000"
1594187427115159552,AllCatsAreTerfs,"Just here to support bad bitches and click the lil heart when they say things I like 🥰

YWNBAW","20 Nov, 2022 @ 04:34:59.000"
2512820030,alterf_8,(empty),"21 May, 2014 @ 16:01:04.000"
1619127278151127040,AoifeOTerfy,🟩⬜️🟪  Peaked & Proud. Pronouns are Get/To/Feck #RepealBillC16,"28 Jan, 2023 @ 00:18:48.000"
1289483800930656256,asbo_terf,"2 biological sexes.

Operating on or medicating kids who believe they're in the wrong body is evil.","1 Aug, 2020 @ 09:51:20.000"
30524827,astroterf,"Business owner of 33 years, conservative suffocating in a liberal college town. What kind of platform arbitrarily removes 1/3 of all your followers?  #MAGA","11 Apr, 2009 @ 22:10:07.000"
1623250242438045696,authenticTERF,Slayer of Silly Geese | Perversion Enquirer | ASMR | The TIMs want my pheromones | Kilt Lifter,"8 Feb, 2023 @ 09:20:07.000"
1624175848034009088,bearyterfy,a tomboy and desister of child grooming 💃🏽 #NoSelfID | shitpost against the modern world 🇺🇸🧍🏽‍♀️,"10 Feb, 2023 @ 22:38:04.000"
1522718831239696384,BeefTerfy,aww you mad?,"7 May, 2022 @ 00:24:03.000"
1166764651683700736,BernsTerf,(empty),"28 Aug, 2019 @ 18:29:13.000"
972310894230327296,BTerfington,"I say what I mean and I mean what I say. I don't engage in debate with idiots, trolls, mansplainers or fourth-wavers. If you waste my time, you will be blocked.","10 Mar, 2018 @ 03:19:16.000"
1305530392066351104,CancelledTerf,"Amber. 28. Boy Mom ×2. NY. Knitting, crochet, Cricut & all crafts. Stubborn. NP, studying AOCNP.","14 Sep, 2020 @ 16:34:46.000"
1559605026632486912,CharlesTerf,"Married, loads of kids & I practice law. I used to travel under water for my country!  Joined Twitter to add my voice to the women being oppressed by men.","16 Aug, 2022 @ 19:16:44.000"
1402195570148655104,ChrisTerfIsland,"UK Gay Adult Male, Gay not boundary bashing queer, gender is a construct, HIV+, #SexNotGender, #NoToSelfID, #LetWomenSpeak, KPSS, 💜🤍💚","8 Jun, 2021 @ 10:27:47.000"
1636264736189829120,ClosetTerfClub,"NEW ACCOUNT! Coming out about being a TERF isn’t always easy,. support & friendship is right here. LGB✂️TQ+","16 Mar, 2023 @ 07:16:11.000"
